1813;18;Kabupaten Pesisir Barat;1
1871;18;Kota Bandar Lampung;1
1872;18;Kota Metro;1
1901;19;Kabupaten Bangka;1
1902;19;Kabupaten Belitung;1
1903;19;Kabupaten Bangka Selatan;1
1904;19;Kabupaten Bangka Tengah;1
1905;19;Kabupaten Bangka Barat;1
1906;19;Kabupaten Belitung Timur;1
1971;19;Kota Pangkal Pinang;1
2101;21;Kabupaten Bintan;1
2102;21;Kabupaten Karimun;1
2103;21;Kabupaten Natuna;1
2104;21;Kabupaten Lingga;1
2105;21;Kabupaten Kepulauan Anambas;1
2171;21;Kota Batam;1
2172;21;Kota Tanjung Pinang;1
3101;31;Kabupaten Administrasi Kepulauan Seribu;1
3171;31;Kota Administrasi Jakarta Pusat;1
3172;31;Kota Administrasi Jakarta Utara ;1
3173;31;Kota Administrasi Jakarta Barat;1
3174;31;Kota Administrasi Jakarta Selatan;1
3175;31;Kota Administrasi Jakarta Timur;1
3201;32;Kabupaten Bogor;1
3202;32;Kabupaten Sukabumi;1
3203;32;Kabupaten Cianjur;1
3204;32;Kabupaten Bandung;1
3205;32;Kabupaten Garut;1
3206;32;Kabupaten Tasikmalaya;1
3207;32;Kabupaten Ciamis;1
3208;32;Kabupaten Kuningan;1
3209;32;Kabupaten Cirebon;1
3210;32;Kabupaten Majalengka;1
3211;32;Kabupaten Sumedang;1
3212;32;Kabupaten Indramayu;1
3213;32;Kabupaten Subang;1
3214;32;Kabupaten Purwakarta;1
3215;32;Kabupaten Karawang;1
3216;32;Kabupaten Bekasi;1
3217;32;Kabupaten Bandung Barat;1
3218;32;Kabupaten Pangandaran;1
3271;32;Kota Bogor;1
3272;32;Kota Sukabumi;1
3273;32;Kota Bandung;1
3274;32;Kota Cirebon;1
3275;32;Kota Bekasi;1
3276;32;Kota Depok;1
3277;32;Kota Cimahi;1
3278;32;Kota Tasikmalaya;1
3279;32;Kota Banjar;1
3301;33;Kabupaten Cilacap;1
3302;33;Kabupaten Banyumas;1
3303;33;Kabupaten Purbalingga;1
3304;33;Kabupaten Banjarnegara;1
3305;33;Kabupaten Kebumen;1
3306;33;Kabupaten Purworejo;1
3307;33;Kabupaten Wonosobo;1
3308;33;Kabupaten Magelang;1
3309;33;Kabupaten Boyolali;1
3310;33;Kabupaten Klaten;1
3311;33;Kabupaten Sukoharjo;1
3312;33;Kabupaten Wonogiri;1
3313;33;Kabupaten Karanganyar;1
3314;33;Kabupaten Sragen;1
3315;33;Kabupaten Grobogan;1
3316;33;Kabupaten Blora;1
3317;33;Kabupaten Rembang;1
3318;33;Kabupaten Pati;1
3319;33;Kabupaten Kudus;1
3320;33;Kabupaten Jepara;1
3321;33;Kabupaten Demak;1
3322;33;Kabupaten Semarang;1
3323;33;Kabupaten Temanggung;1
3324;33;Kabupaten Kendal;1
3325;33;Kabupaten Batang;1
3326;33;Kabupaten Pekalongan;1
3327;33;Kabupaten Pemalang;1
3328;33;Kabupaten Tegal;1
3329;33;Kabupaten Brebes;1
3371;33;Kota Magelang;1
3372;33;Kota Surakarta;1
3373;33;Kota Salatiga;1
3374;33;Kota Semarang;1
3375;33;Kota Pekalongan;1
3376;33;Kota Tegal;1
3401;34;Kabupaten Kulon Progo;1
3402;34;Kabupaten Bantul;1
3403;34;Kabupaten Gunungkidul;1
3404;34;Kabupaten Sleman;1
3471;34;Kota Yogyakarta;1
3501;35;Kabupaten Pacitan;1
3502;35;Kabupaten Ponorogo;1
3503;35;Kabupaten Trenggalek;1
3504;35;Kabupaten Tulungagung;1
3505;35;Kabupaten Blitar;1
3506;35;Kabupaten Kediri;1
3507;35;Kabupaten Malang;1
3508;35;Kabupaten Lumajang;1
3509;35;Kabupaten Jember;1
3510;35;Kabupaten Banyuwangi;1
3511;35;Kabupaten Bondowoso;1
3512;35;Kabupaten Situbondo;1
3513;35;Kabupaten Probolinggo;1
3514;35;Kabupaten Pasuruan;1
3515;35;Kabupaten Sidoarjo;1
3516;35;Kabupaten Mojokerto;1
3517;35;Kabupaten Jombang;1
3518;35;Kabupaten Nganjuk;1
3519;35;Kabupaten Madiun;1
3520;35;Kabupaten Magetan;1
3521;35;Kabupaten Ngawi;1
3522;35;Kabupaten Bojonegoro;1
3523;35;Kabupaten Tuban;1
3524;35;Kabupaten Lamongan;1
3525;35;Kabupaten Gresik;1
3526;35;Kabupaten Bangkalan;1
3527;35;Kabupaten Sampang;1
3528;35;Kabupaten Pamekasan;1
3529;35;Kabupaten Sumenep;1
3571;35;Kota Kediri;1
3572;35;Kota Blitar;1
3573;35;Kota Malang;1
3574;35;Kota Probolinggo;1
3575;35;Kota Pasuruan;1
3576;35;Kota Mojokerto;1
3577;35;Kota Madiun;1
3578;35;Kota Surabaya;1
3579;35;Kota Batu;1
3601;36;Kabupaten Pandeglang;1
3602;36;Kabupaten Lebak;1
3603;36;Kabupaten Tangerang;1
3604;36;Kabupaten Serang;1
3671;36;Kota Tangerang;1
3672;36;Kota Cilegon;1
3673;36;Kota Serang;1
3674;36;Kota Tangerang Selatan;1
5101;51;Kabupaten Jembrana;1
5102;51;Kabupaten Tabanan;1
5103;51;Kabupaten Badung;1
5104;51;Kabupaten Gianyar;1
5105;51;Kabupaten Klungkung;1
5106;51;Kabupaten Bangli;1
5107;51;Kabupaten Karangasem;1
5108;51;Kabupaten Buleleng;1
5171;51;Kota Denpasar;1
5201;52;Kabupaten Lombok Barat;1
5202;52;Kabupaten Lombok Tengah;1
5203;52;Kabupaten Lombok Timur;1
5204;52;Kabupaten Sumbawa;1
5205;52;Kabupaten Dompu;1
5206;52;Kabupaten Bima;1
5207;52;Kabupaten Sumbawa Barat;1
5208;52;Kabupaten Lombok Utara;1
5271;52;Kota Mataram;1
5272;52;Kota Bima;1
5301;53;Kabupaten Kupang;1
5302;53;Kab Timor Tengah Selatan;1
5303;53;Kabupaten Timor Tengah Utara;1
5304;53;Kabupaten Belu;1
5305;53;Kabupaten Alor;1
5306;53;Kabupaten Flores Timur;1
5307;53;Kabupaten Sikka;1
5308;53;Kabupaten Ende;1
5309;53;Kabupaten Ngada;1
5310;53;Kabupaten Manggarai;1
5311;53;Kabupaten Sumba Timur;1
5312;53;Kabupaten Sumba Barat;1
5313;53;Kabupaten Lembata;1
5314;53;Kabupaten Rote Ndao;1
5315;53;Kabupaten Manggarai Barat;1
5316;53;Kabupaten Nagekeo;1
5317;53;Kabupaten Sumba Tengah;1
5318;53;Kabupaten Sumba Barat Daya;1
5319;53;Kabupaten Manggarai Timur;1
5320;53;Kabupaten Sabu Raijua;1
5321;53;Kabupaten Malaka;1
5371;53;Kota Kupang;1
6101;61;Kabupaten Sambas;1
6102;61;Kabupaten Mempawah;1
6103;61;Kabupaten Sanggau;1
6104;61;Kabupaten Ketapang;1
6105;61;Kabupaten Sintang;1
6106;61;Kabupaten Kapuas Hulu;1
6107;61;Kabupaten Bengkayang;1
6108;61;Kabupaten Landak;1
6109;61;Kabupaten Sekadau;1
6110;61;Kabupaten Melawi;1
6111;61;Kabupaten Kayong Utara;1
6112;61;Kabupaten Kubu Raya;1
6171;61;Kota Pontianak;1
6172;61;Kota Singkawang;1
6201;62;Kabupaten Kotawaringin Barat;1
6202;62;Kabupaten Kotawaringin Timur;1
6203;62;Kabupaten Kapuas;1
6204;62;Kabupaten Barito Selatan;1
6205;62;Kabupaten Barito Utara;1
6206;62;Kabupaten Katingan;1
6207;62;Kabupaten Seruyan;1
6208;62;Kabupaten Sukamara;1
6209;62;Kabupaten Lamandau;1
6210;62;Kabupaten Gunung Mas;1
6211;62;Kabupaten Pulang Pisau;1
6212;62;Kabupaten Murung Raya;1
6213;62;Kabupaten Barito Timur;1
6271;62;Kota Palangkaraya;1
6301;63;Kabupaten Tanah Laut;1
6302;63;Kabupaten Kotabaru;1
6303;63;Kabupaten Banjar;1
6304;63;Kabupaten Barito Kuala;1
6305;63;Kabupaten Tapin;1
6306;63;Kabupaten Hulu Sungai Selatan;1
6307;63;Kabupaten Hulu Sungai Tengah;1
6308;63;Kabupaten Hulu Sungai Utara;1
6309;63;Kabupaten Tabalong;1
6310;63;Kabupaten Tanah Bumbu;1
6311;63;Kabupaten Balangan;1
6371;63;Kota Banjarmasin;1
6372;63;Kota Banjarbaru;1
6401;64;Kabupaten Paser;1
6402;64;Kabupaten Kutai Kartanegara;1
6403;64;Kabupaten Berau;1
6407;64;Kabupaten Kutai Barat;1
6408;64;Kabupaten Kutai Timur;1
6409;64;Kabupaten Penajam Paser Utara;1
6411;64;Kabupaten Mahakam Ulu;1
6471;64;Kota Balikpapan;1
6472;64;Kota Samarinda;1
6474;64;Kota Bontang;1
6501;65;Kabupaten Bulungan;1
6502;65;Kabupaten Malinau;1
6503;65;Kabupaten Nunukan;1
6504;65;Kabupaten Tana Tidung;1
6571;65;Kota Tarakan;1
7101;71;Kabupaten Bolaang Mongondow;1
7102;71;Kabupaten Minahasa;1
7103;71;Kabupaten Kepulauan Sangihe;1
7104;71;Kabupaten Kepulauan Talaud;1
7105;71;Kabupaten Minahasa Selatan;1
7106;71;Kabupaten Minahasa Utara;1
7107;71;Kabupaten Minahasa Tenggara;1
7108;71;Kabupaten Bolaang Mongondow Utara;1
7109;71;Kabupaten Kep. Siau Tagulandang Biaro;1
7110;71;Kabupaten Bolaang Mongondow Timur;1
7111;71;Kabupaten Bolaang Mongondow Selatan;1
7171;71;Kota Manado;1
7172;71;Kota Bitung;1
7173;71;Kota Tomohon;1
7174;71;Kota Kotamobagu;1
7201;72;Kabupaten Banggai;1
7202;72;Kabupaten Poso;1
7203;72;Kabupaten Donggala;1
7204;72;Kabupaten Toli-Toli;1
7205;72;Kabupaten Buol;1
7206;72;Kabupaten Morowali;1
7207;72;Kabupaten Banggai Kepulauan;1
7208;72;Kabupaten Parigi Moutong;1
7209;72;Kabupaten Tojo Una Una;1
7210;72;Kabupaten Sigi;1
7211;72;Kabupaten Banggai Laut;1
7212;72;Kabupaten Morowali Utara;1
7271;72;Kota Palu;1
7301;73;Kabupaten Kepulauan Selayar;1
7302;73;Kabupaten Bulukumba;1
7303;73;Kabupaten Bantaeng;1
7304;73;Kabupaten Jeneponto;1
7305;73;Kabupaten Takalar;1
7306;73;Kabupaten Gowa;1
7307;73;Kabupaten Sinjai;1
7308;73;Kabupaten Bone;1
7309;73;Kabupaten Maros;1
7310;73;Kabupaten Pangkajene dan Kepulauan;1
7311;73;Kabupaten Barru;1
7312;73;Kabupaten Soppeng;1
7313;73;Kabupaten Wajo;1
7314;73;Kabupaten Sidenreng Rappang;1
7315;73;Kabupaten Pinrang;1
7316;73;Kabupaten Enrekang;1
